place,title,time,pay,date
경기 안산시,미니스톱 안산와동점,20:00~05:00,"시급8,590",6시간전
경기 안산시,미니스톱 안산와동점,20:00~05:00,"시급8,590",6시간전
경기 안산시,미니스톱 안산와동점,20:00~05:00,"시급8,590",6시간전
경기 안산시,미니스톱 안산와동점,20:00~05:00,"시급8,590",6시간전
광주 광산구,미니스톱 교통방송점,18:00~22:00,"시급8,590",6시간전
광주 광산구,미니스톱 교통방송점,18:00~22:00,"시급8,590",6시간전
광주 광산구,미니스톱 교통방송점,18:00~22:00,"시급8,590",6시간전
광주 광산구,미니스톱 교통방송점,18:00~22:00,"시급8,590",6시간전
광주 동구,미니스톱 조선대병원본관점,16:00~22:00,"시급8,590",6시간전
광주 동구,미니스톱 조선대병원본관점,16:00~22:00,"시급8,590",6시간전
광주 동구,미니스톱 조선대병원본관점,16:00~22:00,"시급8,590",21시간전
서울 전체,미니스톱 종로충신점,08:00~15:00,"시급8,590",08/20
광주 광산구,미니스톱 하남주공점,16:00~08:00,"시급8,590",08/18
광주 광산구,미니스톱 하남주공점,16:00~08:00,"시급8,590",08/18
광주 광산구,미니스톱 하남주공점,16:00~08:00,"시급8,590",08/18
전북 전주시,미니스톱 평화호반점,00:00~24:00,"시급8,590",08/18
전북 전주시,미니스톱 평화호반점,00:00~24:00,"시급8,590",08/18
서울 영등포,(주)파리크라상,07:00~23:00,"시급8,700",3분전
서울 영등포,쉐이크쉑 타임스퀘어점,09:00~18:00,"시급8,700",21분전
서울 강남구,(주)파리크라상,08:00~23:00,"시급8,700",2시간전
서울 종로구,쉐이크쉑 종각점,09:00~18:00,"시급8,700",3시간전
인천 전체,쉐이크쉑 송도점,09:00~18:00,"시급8,700",08/10
경기 성남시,쉐이크쉑 분당점,07:30~23:00,"시급8,700",08/09
서울 중구,쉐이크쉑 두타점,09:00~18:00,"시급8,700",08/09
서울 용산구,(주)파리크라상,00:00~24:00,"시급8,700",08/09
서울 강남구,쉐이크쉑 강남점,08:00~24:00,"시급8,700",08/05
서울 강남구,(주)썬앳푸드 텍사데브라질 압구정점,16:00~22:00,"시급10,310",1분전
서울 강남구,(주)썬앳푸드 시추안하우스 삼성점,12:00~22:00,"시급10,310",26분전
서울 강남구,(주)썬앳푸드 시추안하우스 삼성점,12:00~22:00,"시급10,310",27분전
서울 강남구,(주)썬앳푸드 시추안하우스 삼성점,12:00~22:00,"시급10,310",53분전
서울 서초구,텍사스데브라질 센트럴시티점,12:00~21:00,"시급10,310",2시간전
서울 영등포,모던눌랑 여의도점,18:00~22:00,"시급10,310",2시간전
서울 강남구,(주)썬앳푸드 텍사데브라질 압구정점,17:00~22:00,"시급10,310",3시간전
서울 강남구,(주)썬앳푸드 텍사데브라질 압구정점,12:00~22:00,"시급10,500",4시간전
서울 강남구,(주)썬앳푸드 시추안하우스 삼성점,12:00~22:00,"시급10,310",19시간전
서울 서초구,모던눌랑 센트럴시티점,12:30~21:30,"시급8,590",08/20
경기 전체,시추안하우스 판교점,15:00~21:30,"시급10,310",08/19
경기 전체,시추안하우스 판교점,12:00~21:00,"시급10,310",08/19
경기 전체,시추안하우스 판교점,12:00~21:00,"시급10,310",08/18
경기 성남시,시추안하우스 판교점,10:00~16:00,"시급10,500",08/18
서울 강남구,(주)썬앳푸드 텍사데브라질 압구정점,16:00~22:00,"시급10,310",08/18
서울 전체,(주) 썬앳푸드 시추안하우스 압구정점,12:00~09:00,"시급8,590",08/16
서울 전체,(주) 썬앳푸드 시추안하우스 압구정점,12:00~09:00,"시급10,310",08/13
